# stan_version_major = 2
# stan_version_minor = 8
# stan_version_patch = 0
# model = ukeu_3_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = stan/data.R
# init = 2 (Default)
# random
#   seed = 2252998156
# output
#   file = stan/ukeu_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,grand_mu,grand_sigma,kappa_pollster.1,kappa_pollster.2,kappa_pollster.3,kappa_pollster.4,kappa_pollster.5,kappa_pollster.6,kappa_pollster.7,kappa_pollster.8,kappa_pollster.9,kappa_pollster.10,kappa_pollster.11,kappa_pollster.12,kappa_pollster.13,kappa_pollster.14,kappa_pollster.15,kappa_teleph
# Adaptation terminated
# Step size = 0.0395551
# Diagonal elements of inverse mass matrix:
# 0.156827, 4.09737e-05, 0.170366, 0.163559, 0.157127, 0.161299, 0.202636, 0.16611, 0.156285, 0.208777, 0.185146, 0.167696, 0.169172, 0.159134, 0.168103, 0.160686, 0.167572, 0.00661041
-182395,0.872982,0.0395551,5,31,0,0.392255,5.56522,-1.12449,-0.525096,-0.400856,-0.516137,0.0141611,-0.0927219,-0.444998,-0.783504,-0.593829,-0.340564,-0.114119,-0.348656,0.0348378,-0.175484,-0.311371,0.274376
-182395,0.997733,0.0395551,5,31,0,0.480645,5.55624,-1.09493,-0.452506,-0.560107,-0.622239,0.0292939,-0.0912589,-0.463205,-0.840115,-0.800611,-0.412487,0.0167692,-0.373511,-0.11391,-0.409713,-0.24362,0.288231
-182395,0.998468,0.0395551,8,255,0,-0.0901075,5.51046,-0.438015,-0.0489975,0.0255263,-0.0972184,0.566726,0.34971,0.128316,-0.297072,0.0204011,0.0486025,0.518617,0.134391,0.447371,0.251465,0.228088,0.31126
-182397,0.977328,0.0395551,4,15,0,-0.0496559,5.49932,-0.501925,0.0532912,0.00605995,-0.00495355,0.718846,0.296561,0.0155103,-0.242525,0.088059,0.219108,0.411069,0.0175936,0.36118,0.211446,0.367078,0.29346
-182397,0.988259,0.0395551,6,63,0,-0.11599,5.46775,-0.279822,0.121875,0.0842973,0.0683913,0.0437658,0.435979,0.0986411,-0.278383,-0.339012,0.164381,0.449887,0.0753454,0.521984,0.205303,0.376331,0.312226
-182398,0.621958,0.0395551,5,31,0,-0.152766,5.48324,-0.373836,0.161808,0.10534,-0.000883656,0.172574,0.46272,0.127788,-0.234434,-0.379378,0.0873543,0.341523,0.246069,0.422843,0.33398,0.371822,0.312998
-182395,0.996867,0.0395551,5,31,0,-0.0864129,5.48198,-0.326401,0.0248487,0.0488337,0.0836077,0.420069,0.530205,0.0734535,-0.307261,-0.135248,0.0779846,0.475182,0.119951,0.349634,0.166055,0.237513,0.315604
-182394,0.819674,0.0395551,6,63,0,-0.0695778,5.5028,-0.621056,0.0152405,-0.00902948,-0.145932,0.245066,0.458262,0.0409155,-0.0595089,0.0139972,0.15605,0.267437,0.152593,0.384407,0.183424,0.102429,0.391968
-182393,0.987834,0.0395551,8,239,0,0.357727,5.56865,-1.12756,-0.457773,-0.378684,-0.449476,-0.289524,0.0136057,-0.342459,-0.348303,-0.516617,-0.29333,0.150536,-0.33886,-0.0194531,-0.271896,-0.228299,0.282816
-182398,0.957364,0.0395551,4,15,0,0.329945,5.56797,-0.971006,-0.245528,-0.38931,-0.480276,-0.353287,0.0825176,-0.369138,-0.360366,-0.423761,-0.465408,0.0598563,-0.223962,0.00567606,-0.178302,-0.109213,0.294385
-182396,0.895906,0.0395551,5,31,0,0.297833,5.58426,-1.06856,-0.271404,-0.323452,-0.494569,-0.2265,0.0909849,-0.291776,-0.428076,-0.489786,-0.367789,0.062067,-0.252812,-0.036163,-0.175119,-0.0734321,0.29696
-182397,0.693195,0.0395551,7,127,0,0.302626,5.51234,-0.861867,-0.430803,-0.351453,-0.440666,0.230302,0.0627883,-0.322344,-0.430566,-0.599109,0.013302,0.272501,-0.215628,0.316395,-0.0491657,-0.120204,0.170994
-182399,0.929389,0.0395551,4,15,0,0.262698,5.51405,-0.809677,-0.278447,-0.285324,-0.390309,0.208281,0.161409,-0.245364,-0.632443,-0.641673,-0.214024,0.226193,-0.318928,0.0489372,-0.109415,0.111639,0.178755
-182403,0.870459,0.0395551,5,31,0,0.357757,5.50052,-0.70552,-0.412362,-0.430559,-0.44063,0.135581,-0.0951809,-0.36852,-0.778328,-0.511828,-0.173545,0.268135,-0.273069,0.428997,-0.20044,-0.0146427,0.127191
-182399,0.994792,0.0395551,6,63,0,0.357726,5.58039,-0.875816,-0.413102,-0.423659,-0.553767,-0.0918249,-0.0817606,-0.34507,0.0621429,-0.578973,-0.0991357,0.0974994,-0.320606,-0.01815,-0.158243,-0.0202111,0.205809
-182401,0.957203,0.0395551,8,191,0,-0.465523,5.48443,-0.297436,0.454048,0.451923,0.353421,0.311381,0.942229,0.443342,-0.509252,0.292497,0.375586,0.700168,0.472421,0.790022,0.518186,0.494445,0.484812
-182399,0.84416,0.0395551,6,63,0,-0.528328,5.49984,-0.105833,0.470367,0.508302,0.400909,0.212418,0.818476,0.488182,-0.349209,0.32165,0.343834,0.687928,0.581875,0.588342,0.689346,0.477208,0.515804
-182400,0.991963,0.0395551,5,31,0,-0.488277,5.49677,-0.238435,0.473196,0.427474,0.410175,0.120394,0.848637,0.440838,-0.164919,0.289672,0.472674,0.645859,0.491598,0.738201,0.510772,0.467143,0.540384
-182397,0.83349,0.0395551,6,63,0,-0.257894,5.51668,-0.474745,0.19893,0.164855,0.152416,0.45206,0.589539,0.252767,-0.164168,0.0234058,0.368507,0.697797,0.388095,0.668126,0.237013,0.56543,0.282277
-182393,0.787628,0.0395551,5,31,0,-0.254103,5.51971,-0.541875,0.148581,0.187128,0.0965793,0.561792,0.592288,0.260338,-0.164057,0.0390641,0.328373,0.628534,0.375407,0.667042,0.334337,0.448284,0.278667
-182398,0.926682,0.0395551,4,15,0,-0.247102,5.50909,-0.226235,0.332923,0.185188,0.187808,0.655633,0.552179,0.253378,-0.329861,0.132224,0.381075,0.840685,0.20211,0.623238,0.412658,0.410373,0.2496
-182398,0.995364,0.0395551,6,63,0,-0.253387,5.54272,-0.625381,0.121631,0.209004,0.155624,0.490001,0.628863,0.213345,0.206047,0.155072,0.535632,0.555112,0.211611,0.722416,0.468991,0.627409,0.239378
-182401,0.947011,0.0395551,7,127,0,-0.703527,5.54847,0.501715,0.720319,0.658321,0.695586,0.977418,0.930554,0.69291,0.324034,0.504221,0.663548,0.95702,0.650146,1.08888,0.818866,0.756294,0.287087
-182400,0.999811,0.0395551,6,47,0,-0.658225,5.55471,0.318831,0.533232,0.623637,0.428913,0.955619,0.821553,0.643312,0.454268,0.536304,0.892046,1.16512,0.757556,1.07102,0.825517,1.06678,0.245704
-182400,0.999652,0.0395551,5,31,0,-0.684992,5.55335,0.117032,0.695156,0.659663,0.674907,1.24689,1.23717,0.688847,0.492682,0.444592,0.770928,1.0185,0.639536,1.16703,0.819475,0.702029,0.242171
-182397,0.978827,0.0395551,7,127,0,-0.907891,5.48204,0.39971,0.889988,0.838341,0.731665,1.33944,1.39685,0.900714,0.958402,0.671319,0.94565,1.34515,0.981982,1.32847,1.09594,1.18312,0.214645
-182396,0.981816,0.0395551,7,127,0,-1.02035,5.56055,0.304654,0.999383,0.961544,0.903782,1.1697,1.34176,1.04525,0.80047,0.94735,0.889372,1.35132,1.06298,1.16525,1.13912,1.12778,0.414294
-182398,0.992771,0.0395551,6,63,0,-1.02936,5.56126,0.523836,0.940135,0.952034,0.950746,1.38619,1.10925,1.00464,1.06404,0.808904,1.06873,1.3373,1.03604,1.41506,1.2346,1.05884,0.361724
