# stan_version_major = 2
# stan_version_minor = 8
# stan_version_patch = 0
# model = ukeu_1_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = stan/data.R
# init = 2 (Default)
# random
#   seed = 2174266419
# output
#   file = stan/ukeu_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,alpha.1,alpha.2,alpha.3
# Adaptation terminated
# Step size = 0.209009
# Diagonal elements of inverse mass matrix:
# 0.00819347, 0.00832727, 0.00910791
352.002,0.99426,0.209009,2,3,0,24.801,23.9339,7.31523
351.973,0.944335,0.209009,2,3,0,25.4842,23.9704,7.47309
351.658,0.899374,0.209009,4,15,0,23.6894,22.8951,7.31367
351.597,0.823576,0.209009,2,3,0,24.3814,22.9732,6.94496
351.623,0.971396,0.209009,4,11,0,22.5384,21.5459,6.89824
351.239,0.936636,0.209009,3,7,0,22.4202,21.9381,6.61348
351.434,0.999283,0.209009,5,23,0,26.4139,25.6452,7.79414
351.555,0.857264,0.209009,2,3,0,26.4442,24.8949,7.9322
350.248,0.799519,0.209009,3,7,0,27.1223,24.9247,7.60062
351.654,0.899883,0.209009,4,15,0,23.1717,22.5369,6.82334
348.468,0.923803,0.209009,5,19,0,18.882,18.1233,5.57408
348.497,0.947503,0.209009,4,15,0,19.5237,18.0099,5.82516
347.495,0.918517,0.209009,2,3,0,19.0347,18.58,6.20826
348.456,0.969284,0.209009,2,3,0,19.5275,18.8387,6.27695
351.662,0.96412,0.209009,5,17,0,24.6052,23.3757,7.02655
350.01,0.862562,0.209009,5,23,0,21.2763,21.1119,6.72334
349.897,1,0.209009,2,3,0,21.3496,20.8765,6.83728
349.801,0.997417,0.209009,1,1,0,21.1837,20.7345,6.78686
349.959,0.947677,0.209009,3,7,0,23.2968,22.6719,6.51631
351.915,1,0.209009,2,3,0,23.541,22.2149,6.86017
351.836,0.95858,0.209009,4,15,0,24.7892,23.2856,7.46587
350.801,0.98291,0.209009,5,19,0,21.4978,20.0316,6.36516
351.563,0.992562,0.209009,5,23,0,24.3891,22.7269,6.98111
351.3,0.907998,0.209009,4,13,0,25.3099,24.6531,7.32667
351.717,0.971572,0.209009,2,3,0,25.2735,23.6172,7.56316
351.698,0.902485,0.209009,2,3,0,25.6465,23.8896,7.45788
351.018,0.828514,0.209009,2,3,0,25.2676,23.9735,7.86326
350.707,0.885177,0.209009,2,3,0,25.2332,24.9983,7.79504
350.836,0.94679,0.209009,2,3,0,27.0739,24.9291,7.84338
348.341,0.834048,0.209009,2,3,0,27.5986,24.6072,7.90914
348.124,0.930344,0.209009,4,11,0,24.8908,21.9624,7.14979
349.311,1,0.209009,2,3,0,24.5539,24.1704,6.85894
350.012,1,0.209009,1,1,0,24.607,24.132,6.93361
350.623,1,0.209009,1,1,0,24.7115,24.0276,6.98282
351.721,0.951732,0.209009,2,3,0,24.0058,23.3426,7.36079
351.703,0.836577,0.209009,2,3,0,24.156,22.625,7.30185
351.571,0.989343,0.209009,3,7,0,24.2291,22.5596,7.29047
351.61,0.879338,0.209009,2,3,0,23.8456,23.2047,7.35053
351.962,0.933057,0.209009,3,7,0,24.4976,22.9515,7.25441
351.742,0.978899,0.209009,2,3,0,24.1947,22.9045,7.3973
351.114,0.818098,0.209009,2,3,0,24.4503,23.4609,6.90612
350.913,0.971398,0.209009,4,15,0,27.4199,25.5963,7.80375
348.546,0.690745,0.209009,5,19,0,22.3584,19.948,6.61742
349.396,1,0.209009,1,1,0,22.3976,20.1672,6.60154
350.938,0.845499,0.209009,4,15,0,21.25,20.6152,6.30607
349.653,0.931914,0.209009,3,7,0,22.2482,20.7258,6.14451
350.239,1,0.209009,2,3,0,22.3274,20.93,6.23505
349.687,0.9991,0.209009,5,25,0,28.1712,27.3166,7.98613
348.738,0.920317,0.209009,2,3,0,28.5532,26.9085,7.79973
350.687,0.999254,0.209009,5,23,0,24.3708,23.6186,6.87218
350.999,1,0.209009,1,1,0,24.3358,23.6284,6.92962
350.922,0.990972,0.209009,4,13,0,22.8711,21.59,7.13587
351.383,0.967867,0.209009,4,15,0,24.72,23.5045,6.99717
351.842,0.981311,0.209009,5,31,0,23.4278,22.4431,6.81491
352.08,0.934775,0.209009,2,3,0,23.6592,22.4038,7.00113
351.768,0.995716,0.209009,5,23,0,26.1814,24.7806,7.84165
351.765,0.966212,0.209009,4,15,0,25.8547,24.6726,7.47286
351.79,0.971229,0.209009,4,9,0,25.375,24.5563,7.44396
351.001,0.94565,0.209009,2,3,0,25.4851,25.0275,7.42719
350.442,0.980284,0.209009,4,11,0,26.1407,25.4099,7.39685
351.612,1,0.209009,3,7,0,26.3968,25.2182,7.63551
351.45,0.964613,0.209009,4,15,0,26.3961,24.725,7.55524
351.92,0.985767,0.209009,5,23,0,24.1717,22.6403,7.05895
351.045,0.924628,0.209009,5,31,0,21.6547,21.1889,6.46714
351.978,0.991793,0.209009,5,19,0,23.8507,22.9633,6.99904
350.132,0.777914,0.209009,4,13,0,20.7748,19.7172,6.4858
350.324,0.843119,0.209009,3,7,0,20.6173,20.0193,6.41996
348.527,0.868754,0.209009,2,3,0,20.517,19.6472,6.67186
348.484,0.990695,0.209009,3,7,0,20.9214,19.8966,6.80823
346.515,0.941621,0.209009,2,3,0,20.4489,19.3884,6.81498
345.983,0.877356,0.209009,1,1,0,20.8628,19.1699,6.83072
344.775,0.819608,0.209009,1,1,0,20.8372,18.7655,6.75946
345.004,1,0.209009,1,1,0,20.6462,18.7463,6.74325
347.231,0.992934,0.209009,4,11,0,23.8392,22.8194,6.31087
350.989,1,0.209009,2,3,0,22.6914,22.1207,6.55423
351.838,0.92325,0.209009,2,3,0,22.8261,21.5673,6.7871
351.535,0.903542,0.209009,4,15,0,25.0227,23.6065,7.65942
351.864,0.949874,0.209009,4,15,0,24.1649,22.8055,6.96922
351.768,0.93295,0.209009,4,11,0,26.0191,24.5193,7.78316
351.768,0.888659,0.209009,3,5,0,26.0191,24.5193,7.78316
351.976,0.988192,0.209009,4,11,0,24.9166,23.5186,7.22318
350.471,0.953554,0.209009,4,15,0,22.0147,20.6687,6.21545
350.567,1,0.209009,3,7,0,21.5936,20.498,6.16082
349.653,0.834579,0.209009,5,19,0,25.2362,25.3438,7.436
350.557,0.818158,0.209009,2,3,0,25.7733,23.4565,7.38684
350.566,0.999632,0.209009,5,19,0,23.7441,21.5888,6.92602
351.922,0.990198,0.209009,2,3,0,23.0569,21.8149,6.88552
351.92,0.980405,0.209009,2,3,0,22.9643,22.0161,6.78753
351.444,0.873345,0.209009,3,5,0,22.8196,21.6033,7.01805
351.147,0.903045,0.209009,3,7,0,22.1183,21.3688,6.41949
351.023,0.994519,0.209009,3,7,0,22.1733,20.8632,6.82821
349.922,0.981044,0.209009,5,19,0,29.474,28.1146,8.74782
349.922,0.730757,0.209009,2,3,0,29.474,28.1146,8.74782
351.138,0.8304,0.209009,5,23,0,24.4616,22.4312,7.10215
351.524,0.822871,0.209009,3,7,0,23.9706,23.5293,7.12314
351.407,1,0.209009,4,15,0,23.3542,21.6185,6.90668
351.076,0.980243,0.209009,3,7,0,22.3834,22.0173,6.93735
350.834,0.979971,0.209009,2,3,0,23.252,21.4133,7.02643
350.699,0.996582,0.209009,5,23,0,21.3896,20.5393,6.18245
349.588,0.907204,0.209009,3,7,0,20.5943,19.6647,6.54114
