lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,alpha.1,alpha.2,alpha.3,beta_teleph.1,beta_teleph.2,beta_teleph.3,beta_pollster.1.1,beta_pollster.2.1,beta_pollster.3.1,beta_pollster.4.1,beta_pollster.5.1,beta_pollster.6.1,beta_pollster.7.1,beta_pollster.8.1,beta_pollster.9.1,beta_pollster.10.1,beta_pollster.11.1,beta_pollster.12.1,beta_pollster.13.1,beta_pollster.14.1,beta_pollster.15.1,beta_pollster.1.2,beta_pollster.2.2,beta_pollster.3.2,beta_pollster.4.2,beta_pollster.5.2,beta_pollster.6.2,beta_pollster.7.2,beta_pollster.8.2,beta_pollster.9.2,beta_pollster.10.2,beta_pollster.11.2,beta_pollster.12.2,beta_pollster.13.2,beta_pollster.14.2,beta_pollster.15.2,beta_pollster.1.3,beta_pollster.2.3,beta_pollster.3.3,beta_pollster.4.3,beta_pollster.5.3,beta_pollster.6.3,beta_pollster.7.3,beta_pollster.8.3,beta_pollster.9.3,beta_pollster.10.3,beta_pollster.11.3,beta_pollster.12.3,beta_pollster.13.3,beta_pollster.14.3,beta_pollster.15.3
# Adaptation terminated
# Step size = 0.0847993
# Diagonal elements of inverse mass matrix:
# 0.0164925, 0.0155722, 0.0184936, 0.0191897, 0.0186961, 0.0216238, 0.0193899, 0.022511, 0.0299315, 0.0151438, 0.0158012, 0.0176628, 0.0123726, 0.0133121, 0.014207, 0.0165363, 0.0149791, 0.0175468, 0.0268649, 0.0258168, 0.0248226, 0.0257524, 0.0209824, 0.0307575, 0.0141648, 0.0143169, 0.0152685, 0.0247033, 0.0245835, 0.0335831, 0.022352, 0.0223039, 0.0238628, 0.014571, 0.0171436, 0.0175847, 0.0151283, 0.0169377, 0.0179379, 0.0152245, 0.0165118, 0.0184811, 0.0176294, 0.0171105, 0.0192298, 0.0188337, 0.0203351, 0.0210394, 0.0180352, 0.0203927, 0.0173731
401.231,0.986119,0.0847993,6,63,0,62.1248,61.1878,20.4464,1.0395,0.96684,0.728805,0.817056,0.832794,0.982839,0.916146,1.03794,1.21437,1.08161,1.05822,1.04131,0.572601,1.27812,1.1753,1.01459,1.10565,1.34105,1.14638,0.886914,0.997051,0.929355,1.01913,0.973387,1.05798,0.812318,1.0765,0.589597,1.1515,1.16422,0.950198,0.871258,1.38998,0.920778,1.04242,0.952029,1.56992,0.574801,1.41953,1.15293,0.926355,1.07146,0.917483,0.918147,1.13952,1.14618,1.08143,0.552391
398.541,0.923596,0.0847993,6,63,0,55.2566,47.6196,15.9806,0.717738,0.757546,0.650092,0.702309,0.764065,0.978417,0.785007,1.07061,0.994695,0.962818,0.88881,1.15704,0.866448,1.30691,0.774306,1.23749,1.11683,1.39141,0.752615,0.689981,1.12869,0.956575,1.10319,1.0686,1.09834,0.955011,1.37697,0.897469,1.02835,0.88265,1.16286,1.12142,1.41026,1.26315,0.732892,1.02039,1.43344,0.747013,1.1303,1.15005,1.08307,1.17031,1.24578,0.723138,1.03523,0.822552,1.04954,0.656406
401.609,0.993196,0.0847993,6,63,0,47.3653,48.1579,15.3977,1.32355,1.19149,0.902981,1.13436,1.13557,1.00212,0.70884,0.970616,0.992545,0.917807,0.781391,0.81549,0.940883,1.13419,1.34151,1.02556,0.818064,1.24381,0.961193,1.38779,0.996517,0.738381,1.07584,0.876912,0.902514,0.947123,0.771093,0.886555,0.939419,1.07431,0.991463,0.730701,1.20575,1.19202,1.21893,1.05583,1.35536,0.664317,1.01608,1.10217,1.19689,0.86331,1.44384,0.72359,1.23357,0.956084,0.889067,0.613547
399.052,0.997939,0.0847993,5,31,0,45.5403,44.3872,14.0569,1.33561,1.30089,1.03565,0.907204,1.25274,0.958536,0.728646,1.03327,0.937071,0.887454,0.77993,0.849126,0.994218,1.15543,1.01581,1.13379,0.779866,1.23541,1.35987,1.11875,0.965505,0.820561,1.11963,0.833609,0.922194,0.861737,0.870628,0.900229,0.943855,1.18056,0.922699,0.732488,1.13657,1.03763,1.15639,0.912578,1.30845,0.656988,0.920947,1.1096,1.51804,0.690983,1.43807,0.774602,1.30046,1.03164,0.903223,0.625292
402.813,0.935535,0.0847993,6,63,0,56.5173,56.7536,16.6498,0.951653,0.940236,0.722838,1.06126,0.818597,0.988463,0.809362,1.20297,1.10374,1.0415,1.05551,1.03069,0.83617,1.18543,0.927775,1.03665,1.11215,1.30348,0.75148,0.6589,0.973226,0.882581,1.12077,1.07015,1.056,1.20735,1.03438,0.791565,0.955304,0.827224,0.864541,0.991427,1.17922,1.403,0.866379,1.09081,1.47508,0.701896,1.35118,1.27637,0.710051,1.17851,1.18367,0.843266,1.04262,0.901841,1.19483,0.644559
403.014,0.941739,0.0847993,6,63,0,59.785,49.5964,18.2798,1.00572,1.02945,0.720603,0.983478,1.03527,0.924943,0.70753,1.04722,0.720154,0.819976,0.927048,0.794446,0.974555,1.07977,1.11313,1.20078,0.819473,1.34574,0.835135,1.53862,1.14681,0.769467,1.06464,0.94539,1.06085,1.04569,1.08196,1.02963,0.975143,1.23515,1.17258,0.857278,1.39402,1.06472,1.20649,1.01956,1.28977,0.603457,0.873615,0.991679,1.01628,0.958013,1.48687,0.774533,1.06594,1.14877,0.87962,0.666114
404.407,0.970114,0.0847993,6,63,0,54.3755,59.8086,17.7299,1.02447,0.954843,0.654362,1.14324,0.789153,1.04116,0.858003,1.2778,0.904797,1.03064,1.10337,1.0885,0.828805,1.26175,0.877053,1.07365,1.05581,1.25942,0.737147,0.71212,0.957122,0.851527,1.00088,1.08956,0.908587,1.04613,1.12498,0.740145,0.935598,0.890367,0.836778,0.927464,1.06594,1.07719,0.830466,0.983971,1.43125,0.700765,1.14656,1.21384,1.19979,0.887447,1.32134,0.891025,1.00944,0.855226,1.23571,0.687231
404.217,0.962116,0.0847993,6,63,0,46.8808,47.7794,14.7064,1.1673,1.08238,0.935845,0.674478,1.07908,0.98835,0.6675,1.28796,0.962042,0.883001,0.934368,0.789141,1.03727,1.1467,1.11829,1.29113,0.724059,1.57839,1.07216,1.13167,0.965673,0.701625,1.09435,0.74383,0.869505,0.952302,1.23116,0.904001,0.950668,1.14517,1.17518,0.758703,1.48994,1.13788,1.31676,1.00241,1.19358,0.668881,1.26234,1.05149,0.907224,1.06125,1.32799,0.724696,1.24025,0.881959,0.955351,0.690236
404.474,0.948831,0.0847993,6,63,0,49.1802,57.1079,17.2668,1.3355,1.11479,0.921781,1.07499,1.0765,1.20536,0.725957,1.01784,1.15667,0.986414,1.24609,1.26875,0.776139,1.23572,1.25629,1.0332,0.997796,1.15492,0.865387,0.957422,1.0815,0.671024,0.884801,1.17031,0.899084,1.22018,0.865232,0.702609,1.11448,1.07032,0.877878,0.91776,1.04069,0.97559,1.05514,1.09615,1.11702,0.578627,0.936063,1.02581,1.20004,1.04023,1.17564,0.836965,1.23609,0.958922,0.898071,0.629525
405.982,0.986326,0.0847993,6,63,0,63.6837,58.7278,17.7357,0.876574,0.690968,0.669303,0.87649,0.858846,0.841092,0.874355,1.22916,0.880924,0.908567,0.689794,0.873583,1.00256,0.94064,0.827213,1.19215,0.886473,1.33167,0.944683,0.968628,0.974991,0.949781,1.44871,0.794571,0.962729,0.980544,1.08564,1.30689,1.05645,0.86249,1.34467,0.980011,1.62657,1.25992,1.00606,0.963825,1.66447,0.8073,1.12362,1.16307,0.845629,0.880498,1.72808,0.746309,0.919708,1.25124,0.938193,0.795197
